CENTNO,CENT_STATE,CENT_CITY,CENT_NAME
110101,ANDAMAN AND NICOBAR ISLANDS (UT),PORT BLAIR,KENDRIYA VIDYALAYA NO. 1
110102,ANDAMAN AND NICOBAR ISLANDS (UT),PORT BLAIR,DR B R AMBEDKAR INSTITUTE OF TECHNOLOGY
110103,ANDAMAN AND NICOBAR ISLANDS (UT),PORT BLAIR,GOVERNMENT MODEL SENIOR SECONDARY SCHOOL
120101,ANDHRA PRADESH,GUNTUR,LITTLE FLOWER ENGLISH MEDIUM SCHOOL
120102,ANDHRA PRADESH,GUNTUR,CHALAPATHI INSTITUTE OF TECHNOLOGY
120103,ANDHRA PRADESH,GUNTUR,R.V.R. & J.C. COLLEGE OF ENGINEERING
120104,ANDHRA PRADESH,GUNTUR,SRI VENKATESWARA BALAKUTEER
120105,ANDHRA PRADESH,GUNTUR,NATCO SCHOOL OF LEARNING PONNUR MANDAL GUNTUR AP
120106,ANDHRA PRADESH,GUNTUR,B.H.H. DEGREE COLLEGE FOR WOMEN
120107,ANDHRA PRADESH,GUNTUR,JAGARLAMUDI KUPPUSWAMY CHOUDARY COLLEGE
120108,ANDHRA PRADESH,GUNTUR,DR K L PRASAD PUBLIC SCHOOL
120201,ANDHRA PRADESH,KURNOOL,MONTESSORI HIGH SCHOOL
120202,ANDHRA PRADESH,KURNOOL,MONTESSORI INDUS SCHOOL
120203,ANDHRA PRADESH,KURNOOL,ST. JOSEPHS DEGREE COLLEGE
120204,ANDHRA PRADESH,KURNOOL,MOTHER THERESA INSTITUTE OF PHARMACEUTICAL EDUCATION AND RESEARCH
120205,ANDHRA PRADESH,KURNOOL,THE ATHENA SCHOOL
120206,ANDHRA PRADESH,KURNOOL,SRI LAKSHMI (E.M.) HIGH SCHOOL
120207,ANDHRA PRADESH,KURNOOL,K.V.R. GOVERNMENT COLLEGE FOR WOMEN (A) KURNOOL
120301,ANDHRA PRADESH,NELLORE,GEETHANJALI INSTITUTE OF SCIENCE AND TECHNOLOGY
120302,ANDHRA PRADESH,NELLORE,V.R. INSTITUTE OF POST GRADUATE STUDIES
120303,ANDHRA PRADESH,NELLORE,RSR INTERNATIONAL SCHOOL KAVALI NELLORE AP
120304,ANDHRA PRADESH,NELLORE,PADMAVATHI VIDYALAYA SULLURPETA NELLORE AP
120305,ANDHRA PRADESH,NELLORE,AKSHARA VIDYALAYA
120401,ANDHRA PRADESH,TIRUPATHI,SGS ARTS COLLEGE
120402,ANDHRA PRADESH,TIRUPATHI,GITAM SCHOOL
120403,ANDHRA PRADESH,TIRUPATHI,EDIFY SCHOOL
120404,ANDHRA PRADESH,TIRUPATHI,INTERNATIONAL DELHI PUBLIC SCHOOL
120405,ANDHRA PRADESH,TIRUPATHI,LITTE ANGLES SCHOOL
120406,ANDHRA PRADESH,TIRUPATHI,VISWAM HIGH SCHOOL VISWAM NAGAR JEEVAKONA
120407,ANDHRA PRADESH,TIRUPATHI,MARG CHINMAYA VIDYALAYA SR. SECONDARY SCHOOL
120408,ANDHRA PRADESH,TIRUPATHI,SREE VIDYANIKETHAN INTERNATIONAL SCHOOL
120409,ANDHRA PRADESH,TIRUPATHI,SHLOKA-A BIRLA SCHOOL
120501,ANDHRA PRADESH,VIJAYAWADA,POTTI SRIRAMULU CHALAVADI MALLIKARJUNA RAO COLLEGE OF ENGINEERING AND TECHNOLOGY
120502,ANDHRA PRADESH,VIJAYAWADA,NRI INSTITUTE OF TECHNOLOGY
120503,ANDHRA PRADESH,VIJAYAWADA,KAKARAPARTI BHAVANARAYANA COLLEGE
120504,ANDHRA PRADESH,VIJAYAWADA,DHANEKULA INSTITUTE OF ENGINEERING & TECHNOLOGY
120505,ANDHRA PRADESH,VIJAYAWADA,V S ST JOHNS H S S
120506,ANDHRA PRADESH,VIJAYAWADA,PALADUGU PARVATHI DEVI COLLEGE OF ENGINEERING AND TECHNOLOGY
120507,ANDHRA PRADESH,VIJAYAWADA,VIKAS GROUP OF INSTITUTIONS
120508,ANDHRA PRADESH,VIJAYAWADA,P.B. SIDHARTHA ARTS AND SCIENCE COLLEGE
120509,ANDHRA PRADESH,VIJAYAWADA,ANDHRA LOYOLA INSTITUTE OF ENGINEERING AND TECHNOLOGY
120510,ANDHRA PRADESH,VIJAYAWADA,SRI DURGA MALLESWARA SIDDHARTHA MAHILA KALASALA (DEGREE COLLEGE)
120511,ANDHRA PRADESH,VIJAYAWADA,BHASHYAM(E.M) HIGH SCHOOL
120512,ANDHRA PRADESH,VIJAYAWADA,MARIS STELLA COLLEGE
120513,ANDHRA PRADESH,VIJAYAWADA,CHITTURI HIGH SCHOOL
120514,ANDHRA PRADESH,VIJAYAWADA,SRI VIJNAN VIHARA EM SCHOOL
120515,ANDHRA PRADESH,VIJAYAWADA,VIJAYA INSTITUTE OF TECHNOLOGY FOR WOMEN
120516,ANDHRA PRADESH,VIJAYAWADA,SRR & CVR GOVT. DEGREE COLLEGE
120517,ANDHRA PRADESH,VIJAYAWADA,VIKAS COLLEGE OF ENGINEERING AND TECHNOLOGY
120518,ANDHRA PRADESH,VIJAYAWADA,V.P.SIDDHARTHA PUBLIC SCHOOL
120519,ANDHRA PRADESH,VIJAYAWADA,DELHI PUBLIC SCHOOL VIJAYAWADA
122301,ANDHRA PRADESH,PRODDATUR,SADHANA DEGREE COLLEGE
122302,ANDHRA PRADESH,PRODDATUR,GOPI KRISHNA CENTRAL SCHOOL DORASANIPALLI PRODDUTUR. PIN CODE :516360
122401,ANDHRA PRADESH,RAJAHMUNDRY,RAJAMAHENDRI INSTITUTE OF ENGINEERING AND TECHNOLOGY
122402,ANDHRA PRADESH,RAJAHMUNDRY,GOVERNMENT COLLEGE AUTONOMOUS
122403,ANDHRA PRADESH,RAJAHMUNDRY,RAJIVGANDHI DEGREE COLLEGE
122404,ANDHRA PRADESH,RAJAHMUNDRY,SKVT (EM) GOVT HIGH SCHOOL
122405,ANDHRA PRADESH,RAJAHMUNDRY,KENDRIYA VIDYALAYA
122406,ANDHRA PRADESH,RAJAHMUNDRY,BHASHYAM ENGLISH MEDIUM SCHOOL
122407,ANDHRA PRADESH,RAJAHMUNDRY,SRI KANDUKURI RAJYALAKSHMI WOMENS COLLEGE
122408,ANDHRA PRADESH,RAJAHMUNDRY,OAKWOOD THE RAJAHMUNDRY SCHOOL
122501,ANDHRA PRADESH,SRIKAKULAM,SRI SIVANI COLLEGE OF ENGINEERING
122502,ANDHRA PRADESH,SRIKAKULAM,GAYATRI SCHOOL
122503,ANDHRA PRADESH,SRIKAKULAM,KENDRIYA VIDYALAYA SRIKAKULAM
122504,ANDHRA PRADESH,SRIKAKULAM,GAYATRI DEGREE & PG COLLEGE
122505,ANDHRA PRADESH,SRIKAKULAM,GURAJADA COLLEGE OF EDUCATION
122701,ANDHRA PRADESH,TADEPALLIGUDEM,BHARATIYA VIDYA BHAVANS RES PUBLIC SCHOOL
122801,ANDHRA PRADESH,TANUKU,SREE MULLAPUDI VENKATARAYA MEMORIAL POLYTECHNIC
122802,ANDHRA PRADESH,TANUKU,SREE RAMA INSTITUTE OF MANAGEMENT ( MBA)
122803,ANDHRA PRADESH,TANUKU,STEPPING STONES HIGH SCHOOL
122901,ANDHRA PRADESH,VIZIANAGARAM,INSPIIRO SCHOOL
122902,ANDHRA PRADESH,VIZIANAGARAM,KENDRIYA VIDYALAYA VIZIANAGARAM
122903,ANDHRA PRADESH,VIZIANAGARAM,DR BESANT ENGLISH MEDIUM SCHOOL
122904,ANDHRA PRADESH,VIZIANAGARAM,SMT. GODAVARI DEVI SARAF HIGH SCHOOL
122905,ANDHRA PRADESH,VIZIANAGARAM,THE SUN SCHOOL
120520,ANDHRA PRADESH,VIJAYAWADA,DR.KKR GOWTHAM (E.M) HIGH SCHOOL
120521,ANDHRA PRADESH,VIJAYAWADA,KCP SIDDHARTHA ADARSH RES PUB SCH VIJAYAWADA AP
120522,ANDHRA PRADESH,VIJAYAWADA,KVSR SIDDHARTHA COLLEGE OF PHARMACEUTICAL SCIENCES
120523,ANDHRA PRADESH,VIJAYAWADA,SRI DURGA MALLESWARA SIDDHARTHA MAHILA JUNIOR KALASALA
120524,ANDHRA PRADESH,VIJAYAWADA,KENDRIYA VIDYALAYA NO.1 VIJAYAWADA
120525,ANDHRA PRADESH,VIJAYAWADA,RAVINDRA BHARATHI''S SCOTSPINE SCHOOL
120526,ANDHRA PRADESH,VIJAYAWADA,SAMVIDA VIDYA PEETH
120601,ANDHRA PRADESH,VISAKHAPATNAM,SRI CHAITANYA TECHNO SCHOOL
120602,ANDHRA PRADESH,VISAKHAPATNAM,AQJ CENTRE FOR PG STUDIES
120603,ANDHRA PRADESH,VISAKHAPATNAM,SANKETIKA VIDYA PARISHAD ENGINEERING COLLEGE
120604,ANDHRA PRADESH,VISAKHAPATNAM,AMEYA WORLD SCHOOL
120605,ANDHRA PRADESH,VISAKHAPATNAM,VIJAYAM SCHOOL
120606,ANDHRA PRADESH,VISAKHAPATNAM,KENDRIYA VIDYALAYA WALTAIR
120607,ANDHRA PRADESH,VISAKHAPATNAM,NAVY CHILDREN SCHOOL
120608,ANDHRA PRADESH,VISAKHAPATNAM,VIGNAN STEEL CITY PUBLIC SCHOOL
120609,ANDHRA PRADESH,VISAKHAPATNAM,VIJNANA VIHARA RES SCH GUDILOVA VIZAG AP
120610,ANDHRA PRADESH,VISAKHAPATNAM,BABA INSTITUTE OF TECHNOLOGY AND SCIENCES
120611,ANDHRA PRADESH,VISAKHAPATNAM,NAVY CHILDREN SCH. NAUSENABAGH VISAKHAPATNAM AP
120612,ANDHRA PRADESH,VISAKHAPATNAM,KENDRIYA VIDYALAYA NO.I NAUSENA BAGH
120613,ANDHRA PRADESH,VISAKHAPATNAM,VISAKHA VALLEY SCHOOL
120701,ANDHRA PRADESH,TENALI,SRI VIVEKANANDA CENTRAL SCHOOL
120702,ANDHRA PRADESH,TENALI,WESTBERRY SCHOOL
120801,ANDHRA PRADESH,NARASARAOPET,NARASARAOPETA INSTITUTE OF TECHNOLOGY
120802,ANDHRA PRADESH,NARASARAOPET,NARASARAOPETA ENGINEERING COLLEGE
120901,ANDHRA PRADESH,MACHILIPATNAM,DMS SVH COLLEGE OF ENGINEERING
121001,ANDHRA PRADESH,MANGALAGIRI,NIRMALA JUNIOR COLLEGE
121201,ANDHRA PRADESH,ANANTAPUR,SSBN DEGREE COLLEGE
121202,ANDHRA PRADESH,ANANTAPUR,SKU COLLEGE OF ENGINEERING
121203,ANDHRA PRADESH,ANANTAPUR,KSN DEGREE COLLEGE FOR WOMEN {A}
121204,ANDHRA PRADESH,ANANTAPUR,GOVT JR COLLEGE FOR BOYS NEWTOWN
121301,ANDHRA PRADESH,BHIMAVARAM,BHARATIYA VIDYA BHAVAN''S
121401,ANDHRA PRADESH,CHIRALA,ST. ANNS. ENGINEERING COLLEGE
121501,ANDHRA PRADESH,CHITTOOR,B V REDDY SR SEC SCHOOL
121502,ANDHRA PRADESH,CHITTOOR,BRUNDAVAN ENGLISH MEDIUM SCHOOL
121503,ANDHRA PRADESH,CHITTOOR,P E S PUBLIC SCHOOL
121601,ANDHRA PRADESH,ELURU,SIR C R REDDY AUTONOMOUS DEGREE COLLEGE
121602,ANDHRA PRADESH,ELURU,SIR C R REDDY POLYTECHNIC COLLEGE
121603,ANDHRA PRADESH,ELURU,"ADITYA DEGREE COLLEGE, ELURU"
121701,ANDHRA PRADESH,GOOTY,AP MODEL SCHOOL AND JR COLLEGE GOOTY
121801,ANDHRA PRADESH,GUDUR,SRI CHAITANYA ENGLISH MEDIUM SCHOOL
121901,ANDHRA PRADESH,KADAPA,ANNAMACHARYA INSTITUTE OF TECHNOLOGY AND SCIENCES
121902,ANDHRA PRADESH,KADAPA,BHEERAM SREEDHAR REDDY INTERNATIONAL SCHOOL
121903,ANDHRA PRADESH,KADAPA,INTERNATIONAL DELHI PUBLIC SCHOOL
122001,ANDHRA PRADESH,KAKINADA,ASHRAM PUBLIC SCHOOL
122002,ANDHRA PRADESH,KAKINADA,SRI CHAITANYA TECHNO SCHOOL
122003,ANDHRA PRADESH,KAKINADA,AKSHARA SCHOOL
122004,ANDHRA PRADESH,KAKINADA,SUBHANIKETAN SCHOOL
122005,ANDHRA PRADESH,KAKINADA,LAKSHYA INTERNATIONAL SCHOOL
122006,ANDHRA PRADESH,KAKINADA,SARANYA CONCEPT SCHOOL
122007,ANDHRA PRADESH,KAKINADA,GREEN FIELD SCHOOL
122101,ANDHRA PRADESH,NANDYAL,RAJEEV GANDHI MEMORIAL COLLEGE OF ENGINEERING & TECHNOLOGY
122102,ANDHRA PRADESH,NANDYAL,RGM INTERNATIONAL SCHOOL NANDYAL KURNOOL AP
122201,ANDHRA PRADESH,ONGOLE,QIS COLLEGE OF ENGINEERING & TECHNOLOGY
122202,ANDHRA PRADESH,ONGOLE,NEXTGEN INTERNATIONAL SCHOOL
130101,ARUNACHAL PRADESH,ITANAGAR/NAHARLAGUN,NORTH EASTERN REGIONAL INSTITUTE OF SCIENCE AND TECHNOLOGY
130102,ARUNACHAL PRADESH,ITANAGAR/NAHARLAGUN,DON BOSCO SCHOOL
130103,ARUNACHAL PRADESH,ITANAGAR/NAHARLAGUN,NERIST DEGREE BLOCK
130104,ARUNACHAL PRADESH,ITANAGAR/NAHARLAGUN,KENDIRIYA VIDAYALAYA NO. II ITANAGAR
130105,ARUNACHAL PRADESH,ITANAGAR/NAHARLAGUN,KENDRIYA VIDYALAYA NO 1 ITANAGAR
130106,ARUNACHAL PRADESH,ITANAGAR/NAHARLAGUN,KINGCUP PUBLIC SCHOOL
130107,ARUNACHAL PRADESH,ITANAGAR/NAHARLAGUN,GREEN MOUNT SCHOOL
130108,ARUNACHAL PRADESH,ITANAGAR/NAHARLAGUN,KENDRIYA VIDYALAYA NIRJULI (NERIST)
130109,ARUNACHAL PRADESH,ITANAGAR/NAHARLAGUN,DELHI PUBLIC SCHOOL
130301,ARUNACHAL PRADESH,NAMSAI,GOVT. HR. SEC. SCHOOL NAMSAI
130401,ARUNACHAL PRADESH,PASIGHAT,IGJ GOVT HIGHER SECONDARY SCHOOL
140101,ASSAM,DIBRUGARH,SAMPOORNA KENDRA VIDYALAYA
140102,ASSAM,DIBRUGARH,DHSK COLLEGE
140103,ASSAM,DIBRUGARH,LAHOWAL COLLEGE
140104,ASSAM,DIBRUGARH,DHSK COMMERCE COLLEGE
140105,ASSAM,DIBRUGARH,DIBRU COLLEGE
140106,ASSAM,DIBRUGARH,GYAN VIGYAN ACADEMY
140107,ASSAM,DIBRUGARH,DON BOSCO H S DIBRUGARH
140201,ASSAM,GUWAHATI,NORTH EASTERN REGIONAL INSTITUTE OF MANAGEMENT(NERIM)
140202,ASSAM,GUWAHATI,DELHI PUBLIC SCHOOL GUWAHATI
140203,ASSAM,GUWAHATI,ARMY PUBLIC SCHOOL NARANGI
140204,ASSAM,GUWAHATI,GURUKUL GRAMMAR SCHOOL
140205,ASSAM,GUWAHATI,ASSAM DOWN TOWN UNIVERSITY
140206,ASSAM,GUWAHATI,MODERN ENGLISH SCHOOL
140207,ASSAM,GUWAHATI,ROYAL GLOBAL SCHOOL
140208,ASSAM,GUWAHATI,FACULTY HIGHER SECONDARY SCHOOL
140209,ASSAM,GUWAHATI,HOLY CHILD SCHOOL
140210,ASSAM,GUWAHATI,SHRIMANTA SHANKAR ACADEMY
140211,ASSAM,GUWAHATI,MONTFORT SCHOOL
140212,ASSAM,GUWAHATI,MAHARISHI VIDYA MANDIR
140213,ASSAM,GUWAHATI,ARMY PUBLIC SCHOOL BASISTHA
140214,ASSAM,GUWAHATI,SARALA BIRLA GYAN JYOTI
140215,ASSAM,GUWAHATI,KENDRIYA VIDYALAYA KHANAPARA
141401,ASSAM,NAGAON,ADP COLLEGE
141402,ASSAM,NAGAON,NOWGONG COLLEGE (AUTONOMOUS)
141403,ASSAM,NAGAON,NOWGONG GIRL''S COLLEGE
141404,ASSAM,NAGAON,PM SHRI KV NAGAON
141405,ASSAM,NAGAON,CHRIST JYOTI SCHOOL (CBSE)
141406,ASSAM,NAGAON,SANDIPANI VIDYA MANDIR SR. SECONDARY SCHOOL (CBSE)
141501,ASSAM,NALBARI,NALBARI COLLEGE
141601,ASSAM,SIVASAGAR,DELHI PUBLIC SCHOOL ONGC NAZIRA
141602,ASSAM,SIVASAGAR,"KENDRIYA VIDYALAYA ONGC,SIVASAGAR"
141701,ASSAM,UDALGURI,UDALGURI COLLEGE
140216,ASSAM,GUWAHATI,KENDRIYA VIDYALAYA NARANGI
140217,ASSAM,GUWAHATI,ST. MARY''S SR. SEC. SCHOOL
140218,ASSAM,GUWAHATI,KENDRIYA VIDYALAYA IIT GHTY CAMPUS
140219,ASSAM,GUWAHATI,LITTLE FLOWER SCHOOL
140220,ASSAM,GUWAHATI,KENDRIYA VIDYALAYA IOC GUWAHATI NOONMATI
140221,ASSAM,GUWAHATI,DON BOSCO SCHOOL
140222,ASSAM,GUWAHATI,HOLY HOME SECONDARY SCHOOL
140223,ASSAM,GUWAHATI,GUWAHATI PUBLIC SCHOOL
140224,ASSAM,GUWAHATI,MARIAS PUBLIC SCHOOL
140225,ASSAM,GUWAHATI,MODERN HIGH SCHOOL
140226,ASSAM,GUWAHATI,KENDRIYA VIDYALAYA BORJHAR
140227,ASSAM,GUWAHATI,"KENDRIYA VIDYALAYA, NFR MALIGAON"
140301,ASSAM,SILCHAR,DON BOSCO SCHOOL
140302,ASSAM,SILCHAR,MAHARISHI VIDYA MANDIR
140303,ASSAM,SILCHAR,KENDRIYA VIDYALAYA SILCHAR
140304,ASSAM,SILCHAR,HOLY CROSS HS SCHOOL
140305,ASSAM,SILCHAR,PM SHRI KENDRIYA VIDYALAYA MASIMPUR
140306,ASSAM,SILCHAR,VIVEKANANDA KENDRA VIDYALAYA
140307,ASSAM,SILCHAR,KENDRIYA VIDYALAYA NIT
140401,ASSAM,TEZPUR,GOVT GIRLS H S AND M P SCHOOL TEZPUR
140402,ASSAM,TEZPUR,TEZPUR COLLEGE JAIL ROAD NEAR AGNIGARH TEZPUR
140403,ASSAM,TEZPUR,ARMY PUBLIC SCHOOL
140404,ASSAM,TEZPUR,GYAN BHARATI ACADEMY
140405,ASSAM,TEZPUR,KENDRIYA VIDYALAYA TEZPUR UNIVERSITY
140501,ASSAM,BAKSA,BARAMA HS SCHOOL
140601,ASSAM,BARPETA,BARNAGAR COLLEGE
140602,ASSAM,BARPETA,B H COLLEGE
140603,ASSAM,BARPETA,HOWLY SENIOR SECONDARY SCHOOL
140604,ASSAM,BARPETA,BARPETA LAW COLLEGE
140605,ASSAM,BARPETA,BHAWANIPUR ANCHALIK COLLEGE
140606,ASSAM,BARPETA,BARPETA GIRLS COLLEGE
140607,ASSAM,BARPETA,KENDRIYA VIDYALAYA BARPETA
140608,ASSAM,BARPETA,BARPETA GOVT H S SCHOOL
140609,ASSAM,BARPETA,ADARSH VIDYALAYA MANDIA
140610,ASSAM,BARPETA,GOPINATH BORDOLOI MEMORIAL HIGH SCHOOL
140611,ASSAM,BARPETA,ADARSH VIDYALAYA DAHALAPARA RUPSI
140612,ASSAM,BARPETA,BUDS ACADEMY SORBHOG
140613,ASSAM,BARPETA,JAWAHAR NAVODAYA VIDYALAYA
140701,ASSAM,DARRANG (MANGALDOI),MANGALDAI COLLEGE
140702,ASSAM,DARRANG (MANGALDOI),MANGALDAI MAHARISHI VIDYA MANDIR
140703,ASSAM,DARRANG (MANGALDOI),NERIM CHALLENGE ACADEMY
140801,ASSAM,DHUBRI,HAPPY CONVENT SCHOOL
140802,ASSAM,DHUBRI,PRAMATHESH BARUA COLLEGE
140803,ASSAM,DHUBRI,ALOMGANJ GERAMARI AMALGAMATED HIGHER SECONDARY SCHOOL
140804,ASSAM,DHUBRI,NORTH EAST GLOBAL SCHOOL
140805,ASSAM,DHUBRI,DHUBRI GOVT. GIRLS HS SCHOOL
140806,ASSAM,DHUBRI,KENDRIYA VIDYALAYA PANBARI
140807,ASSAM,DHUBRI,"P C INSTITUTION H S SCHOOL, GAURIPUR"
140808,ASSAM,DHUBRI,GAURIPUR GIRLS'' HIGHER SECONDARY SCHOOL
140809,ASSAM,DHUBRI,DHUBRI LAW COLLEGE
140810,ASSAM,DHUBRI,ALAMGANJ RANGAMATI COLLEGE
140901,ASSAM,GOALPARA,GOALPARA ENGLISH SCHOOL
140902,ASSAM,GOALPARA,ST.PETER''S NATIONAL ACADEMY
140903,ASSAM,GOALPARA,KENDRIYA VIDYALAYA GOLAPARA
140904,ASSAM,GOALPARA,"JAWAHAR NAVODAYA VIDYALAYA, DUDHNOI, GOALPARA, ASSAM"
141001,ASSAM,GOLAGHAT,VIVEKANANDA KENDRA VIDYALAYA GOLAGHAT
141002,ASSAM,GOLAGHAT,GURUKUL GLOBAL ACADEMY
141003,ASSAM,GOLAGHAT,SRI SATHYA SAI VIDYA VIHAR
141101,ASSAM,HAILAKANDI,GLOBAL PUBLIC CENTRAL SCHOOL
141201,ASSAM,JORHAT,JORHAT GOVT. GIRLS HS & MP SCHOOL
141202,ASSAM,JORHAT,DELHI PUBLIC SCHOOL
141203,ASSAM,JORHAT,ASSAM RIFLES PUBLIC SCHOOL
141204,ASSAM,JORHAT,SANKARDEV SEMINARY
141301,ASSAM,LAKHIMPUR,NORTH LAKHIMPUR COLLEGE(AUTONOMOUS)
141302,ASSAM,LAKHIMPUR,LAKHIMPUR GIRLS'' COLLEGE
141303,ASSAM,LAKHIMPUR,LAKHIMPUR COMMERCE COLLEGE
141304,ASSAM,LAKHIMPUR,PM SHRI KENDRIYA VIDYALAYA NORTH LAKHIMPUR
150252,BIHAR,PATNA,S.V.M. RESIDENTIAL PUBLIC SCHOOL
150253,BIHAR,PATNA,HIMALAYAN INTERNATIONAL SCHOOL
150254,BIHAR,PATNA,ANKUR PUBLIC SCHOOL
150255,BIHAR,PATNA,INDIRAPURAM PUBLIC SCHOOL GIRLS
150256,BIHAR,PATNA,KENDRIYA VIDYALAYA
150257,BIHAR,PATNA,MOUNT LITERA ZEE SCHOOL
150258,BIHAR,PATNA,USHA MARTIN WORLD SCHOOL
150259,BIHAR,PATNA,VIDYA NIKETAN GIRLS HIGH SCHOOL
150260,BIHAR,PATNA,KIDDY CONVENT HIGH SCHOOL
150261,BIHAR,PATNA,DAV PUBLIC SCHOOL
150262,BIHAR,PATNA,MAY FLOWER SCHOOL
150263,BIHAR,PATNA,EAST CENTRAL RAILWAY SENIOR SECONDARY SCHOOL DANAPUR
150264,BIHAR,PATNA,KNOWLEDGEGRAM INTERNATIONAL SCHOOL
150265,BIHAR,PATNA,OMEGA MISSION SCHOOL
150266,BIHAR,PATNA,RAZA INTERNATIONAL GIRLS SCHOOL
150267,BIHAR,PATNA,BLUE BELLS ACADEMY
150268,BIHAR,PATNA,S R PUBLIC SCHOOL GOPALPUR BIKRAM PATNA BR
150269,BIHAR,PATNA,PREMALOK MISSION SCHOOL M S PURAM PATNA BIHAR
150270,BIHAR,PATNA,DONY POLO PUBLIC SCHOOL
150301,BIHAR,HAJIPUR,BUDDHA WORLD SCHOOL
150302,BIHAR,HAJIPUR,OASIS RESIDENTIAL PUBLIC SCHOOL
150303,BIHAR,HAJIPUR,PM SHRI JAWAHAR NAVODAYA VIDYALAYA
150304,BIHAR,HAJIPUR,ST. JOHNS ACADEMY
150305,BIHAR,HAJIPUR,B D PUBLIC SCHOOL
150401,BIHAR,MADHUBANI,REGIONAL SECONDARY SCHOOL
150402,BIHAR,MADHUBANI,POLE STAR
150403,BIHAR,MADHUBANI,MILLAT TEACHERS TRAINING COLLEGE
150404,BIHAR,MADHUBANI,INDIAN PUBLIC SCHOOL
150501,BIHAR,NALANDA,DAV PUBLIC SCHOOL POWERGRID CAMPUS BIHARSHARIF NALANDA
150502,BIHAR,NALANDA,P.T. J.M. SARASWATI VIDYA MANDIR
150503,BIHAR,NALANDA,CAMBRIDGE SCHOOL
150504,BIHAR,NALANDA,SADAR ALAM MEMORIAL SECONDARY SCHOOL
150505,BIHAR,NALANDA,R.P.S. SCHOOL
150506,BIHAR,NALANDA,SADAR ALAM MEMORIAL SECONDARY SCHOOL
150601,BIHAR,SITAMARHI,DAV PUBLIC SCHOOL RUNNISAIDPUR
150602,BIHAR,SITAMARHI,"HELLENS SCHOOL, SITAMARHI"
150603,BIHAR,SITAMARHI,SRI RADHA KRISHNA GOENKA COLLEGE
150604,BIHAR,SITAMARHI,NIKHIL SHYAMA DAV PUBLIC SCHOOL
150701,BIHAR,VAISHALI,KIDS INTERNATIONAL PUBLIC SCHOOL
150801,BIHAR,ARARIA,AL-FAIZ MODEL ACADEMY
150802,BIHAR,ARARIA,ARARIA PUBLIC SCHOOL
150803,BIHAR,ARARIA,MITHILA PUB SCHOOL
150901,BIHAR,ARRAH,DAV PUBLIC SCHOOL
150902,BIHAR,ARRAH,MOUNT LITERA ZEE SCHOOL
150903,BIHAR,ARRAH,JEAN PAUL''S HIGH SCHOOL
150904,BIHAR,ARRAH,D.K. CARMEL RES. HIGH SCHOOL
151001,BIHAR,ARWAL,PIOUS MISSION SCHOOL
151101,BIHAR,AURANGABAD (BR),DAV PUBLIC SCHOOL
151102,BIHAR,AURANGABAD (BR),ST IGNATIUS SCHOOL MISSION SCHOOL
151103,BIHAR,AURANGABAD (BR),AMBIKA PUBLIC SCHOOL
151104,BIHAR,AURANGABAD (BR),SITYOG INSTITUTEOF TECHNOLOGY
151201,BIHAR,BANKA,CHAMAN SAH SARASWATI VIDYA MANDIR JAGATPUR BANKA
151301,BIHAR,BEGUSARAI,BRDAV PUBLIC SCHOOL
151302,BIHAR,BEGUSARAI,DAV PUBLIC SCHOOL
151303,BIHAR,BEGUSARAI,MOUNT LITERA ZEE SCHOOL
151304,BIHAR,BEGUSARAI,ST. JOSEPH PUBLIC SCHOOL
151305,BIHAR,BEGUSARAI,RIVER VALLEY SCHOOL
151306,BIHAR,BEGUSARAI,DAV PUBLIC SCHOOL
151401,BIHAR,BETTIAH,ST MICHAEL`S ACADEMY CHHAWNI BETTIAH W CHAMPARAN
151402,BIHAR,BETTIAH,NOTRE DAME P SCH BELBAGH BETTIAH W CHAMPARAN BR
151403,BIHAR,BETTIAH,SARASWATI VIDYA MANDIR BARAWAT SENA
151404,BIHAR,BETTIAH,ALOK BHARATI SHIKSHAN SANSTHAN SCHOOL
151405,BIHAR,BETTIAH,ASSEMBLY OF GOD CHURCH SCHOOL
151406,BIHAR,BETTIAH,ST. JOSEPH''S SCHOOL
151407,BIHAR,BETTIAH,H S DAV PUBLIC SCHOOL
151501,BIHAR,BHABUA,DAV SCHOOL
151502,BIHAR,BHABUA,"DAV PUBLIC SCHOOL,"
151601,BIHAR,BHAGALPUR,ANANDRAM DHANDHANIA SARSWATI VIDYA MANDIR
152809,BIHAR,MUZAFFARPUR,DAV PUBLIC SCHOOL MALIGHAT
152901,BIHAR,NAWADA,DELHI PUBLIC SCHOOL NAWADA
152902,BIHAR,NAWADA,GYAN BHARTI MODEL RES COMPLEX
152903,BIHAR,NAWADA,NEW GYAN BHARTI INTERNATIONAL SCHOOL
153001,BIHAR,PURNEA,VIDYA VIHAR RESIDENTIAL SCHOOL
153002,BIHAR,PURNEA,BIJENDRA PUBLIC SCHOOL
153003,BIHAR,PURNEA,GREENFIELD PUBLIC SCHOOL
153004,BIHAR,PURNEA,BRIGHT CAREER SCHOOL
153005,BIHAR,PURNEA,SARASWATI VIDYA MANDIR
153006,BIHAR,PURNEA,BRAJ BIHARI MEMORIAL HIGH SCHOOL
153007,BIHAR,PURNEA,SR DAV PUBLIC SCHOOL
153101,BIHAR,SAMASTIPUR,PODAR INTNL SCHOOL
153102,BIHAR,SAMASTIPUR,"ST. PAUL SECONDARY SCHOOL, BIRSINGHPUR"
