City,count,mean,std,min,25%,50%,75%,max
390524,475.0,313.1663157894737,185.30622313169806,14.0,162.5,280.0,448.0,705.0
390525,475.0,337.2736842105263,182.2773795137222,16.0,180.0,314.0,483.0,690.0
390526,477.0,315.27463312368974,169.43325588475113,14.0,169.0,289.0,448.0,698.0
390527,476.0,322.4957983193277,181.93084279817998,-20.0,172.0,308.0,459.75,720.0
390528,477.0,328.0691823899371,187.55536279004366,-3.0,161.0,307.0,494.0,698.0
390529,476.0,322.50840336134456,177.43053179609583,9.0,169.75,297.0,464.0,705.0
390530,478.0,333.44769874476987,183.6103578402469,0.0,177.0,324.5,486.0,702.0
390531,475.0,311.2294736842105,182.0330103332586,16.0,152.0,283.0,449.0,695.0
390532,478.0,318.7426778242678,190.54921916740827,15.0,153.25,271.5,488.75,697.0
390533,476.0,326.2647058823529,186.7973551433341,15.0,168.75,290.5,481.25,710.0
390534,476.0,329.4390756302521,185.852784033596,4.0,172.75,289.5,485.25,701.0
390535,477.0,326.33752620545073,179.01158745111067,12.0,177.0,303.0,473.0,710.0
390536,479.0,331.6179540709812,173.50476031714282,12.0,184.5,318.0,468.5,710.0
390537,473.0,329.94080338266383,182.3131522172416,11.0,176.0,307.0,494.0,710.0
390538,472.0,325.7118644067797,185.0100634983604,-2.0,168.0,295.0,468.5,712.0
390544,402.0,299.45522388059703,197.85444972727404,15.0,122.25,261.0,476.5,710.0
390545,354.0,295.7231638418079,188.00660640294413,7.0,127.25,255.0,437.0,690.0
390801,472.0,307.78177966101697,186.10505744382098,0.0,147.0,290.0,443.25,700.0
390803,406.0,300.7241379310345,189.4292473764299,15.0,132.25,261.5,454.5,715.0
391302,353.0,293.20113314447593,189.11847476836402,15.0,129.0,246.0,429.0,706.0
391303,328.0,299.030487804878,191.69951077549885,-9.0,135.0,263.0,458.25,686.0
391304,310.0,300.4032258064516,198.45510604611334,10.0,126.25,260.5,476.0,705.0
391307,166.0,297.2951807228916,189.6252210584929,14.0,145.0,260.0,461.0,691.0
391804,489.0,296.4907975460123,190.73153074643693,3.0,135.0,258.0,440.0,720.0
391805,448.0,326.3794642857143,192.8477363640586,-11.0,159.75,291.0,494.5,710.0
391806,422.0,340.87203791469193,193.76906137205103,-5.0,170.25,308.0,509.25,707.0
391807,378.0,317.45767195767195,196.97245510720126,0.0,140.25,279.0,482.75,706.0
391808,374.0,338.8582887700535,189.6569747408234,-13.0,180.0,328.0,504.25,706.0
391809,355.0,325.40845070422534,192.1953879780217,1.0,153.0,295.0,495.5,700.0
391810,238.0,292.9621848739496,187.53930288119338,-5.0,130.25,244.5,439.0,690.0
391811,389.0,333.2390745501285,197.89895608557387,12.0,155.0,319.0,505.0,691.0
392006,152.0,295.7105263157895,182.2175990358688,12.0,133.0,262.5,424.0,686.0
392303,942.0,295.70594479830146,190.99484374340204,-20.0,135.0,247.0,447.5,710.0
392304,848.0,293.7617924528302,190.82128432810498,-8.0,135.75,247.5,445.25,710.0
392306,714.0,319.4257703081233,199.65315143452352,0.0,140.75,281.5,484.5,715.0
392307,715.0,377.75384615384615,194.37639522560517,2.0,212.5,376.0,554.5,710.0
392308,703.0,383.06543385490755,193.92072935497396,6.0,219.0,399.0,552.5,710.0
392309,713.0,376.4810659186536,191.9889465831254,0.0,210.0,378.0,554.0,705.0
392310,716.0,376.9664804469274,191.50647963450484,14.0,204.0,369.5,548.25,710.0
392311,716.0,377.4008379888268,192.43035961094105,-11.0,204.0,385.0,552.5,705.0
392312,708.0,365.3601694915254,193.57241976262438,-18.0,190.75,362.0,538.5,705.0
392313,714.0,375.2843137254902,196.6895492899381,9.0,198.0,375.0,557.0,705.0
392314,714.0,377.6764705882353,194.58017620389032,-6.0,211.0,375.0,555.75,710.0
392315,668.0,381.4191616766467,192.69075766121162,3.0,214.0,391.0,548.25,715.0
392316,597.0,384.79731993299833,191.97290984305718,1.0,213.0,389.0,560.0,710.0
392317,592.0,383.6537162162162,187.58932000807036,0.0,226.75,400.0,545.5,710.0
392318,592.0,376.3496621621622,195.12638370421095,0.0,197.75,393.0,554.25,695.0
392319,574.0,377.14808362369337,195.1822901162645,0.0,205.25,382.0,552.75,710.0
392320,501.0,372.7145708582834,195.3285856378054,0.0,193.0,369.0,550.0,715.0
392321,500.0,372.536,190.8147931229366,-1.0,217.0,369.5,536.25,715.0
392322,502.0,385.8426294820717,193.42262667650155,2.0,213.5,386.5,560.0,706.0
392323,502.0,385.07768924302786,197.4041113398889,10.0,207.5,399.5,567.0,705.0
392324,503.0,383.4095427435388,189.7996198248223,20.0,210.5,397.0,550.0,710.0
392325,502.0,386.18725099601596,192.27238869350154,16.0,218.25,387.5,558.0,705.0
392326,476.0,384.17436974789916,197.5893483561613,0.0,209.0,403.0,558.75,705.0
392327,474.0,372.8776371308017,194.32929542171064,-24.0,212.0,360.0,554.75,710.0
392328,474.0,384.6476793248945,188.98101162177187,14.0,220.0,396.0,554.0,715.0
392329,477.0,386.0167714884696,191.27731784811354,8.0,230.0,384.0,560.0,705.0
392330,475.0,382.8378947368421,196.62402018068445,0.0,199.5,386.0,561.0,715.0
392331,471.0,367.92144373673034,189.52173901815164,-15.0,206.5,366.0,533.0,715.0
392332,476.0,386.0063025210084,190.2965385701315,23.0,222.75,402.5,559.5,705.0
392333,447.0,386.22595078299776,186.9471291591065,29.0,232.5,394.0,553.0,705.0
392334,425.0,385.33176470588234,192.48743049612645,13.0,234.0,388.0,559.0,710.0
392335,429.0,378.5151515151515,194.55080752633117,-4.0,205.0,395.0,546.0,705.0
392336,429.0,388.4988344988345,195.0532113441042,-53.0,226.0,393.0,565.0,705.0
392337,428.0,383.14953271028037,191.1632235969754,2.0,215.0,386.0,554.0,710.0
392338,404.0,396.41336633663366,189.2543942068583,-21.0,239.0,419.5,568.5,700.0
392339,383.0,364.3759791122715,192.47168731075976,-5.0,194.5,366.0,539.5,690.0
392340,380.0,364.4342105263158,194.69752845489933,-23.0,192.75,350.0,535.25,695.0
392341,355.0,388.8,193.91394503515227,22.0,242.0,379.0,557.5,702.0
392342,356.0,373.5477528089888,196.05920482791112,18.0,208.25,372.0,551.5,715.0
392343,351.0,390.2763532763533,194.15899371194433,5.0,214.5,396.0,576.5,702.0
392344,357.0,370.26610644257704,195.36465270814767,0.0,195.0,372.0,540.0,720.0
392345,356.0,379.48595505617976,200.90522557001552,1.0,211.5,362.5,572.25,710.0
392346,358.0,376.00558659217876,194.89882449473845,-25.0,215.5,371.5,540.0,720.0
392347,284.0,351.7781690140845,189.46503658220166,18.0,197.0,344.5,521.0,700.0
392348,285.0,353.3298245614035,192.88872400117148,6.0,186.0,345.0,523.0,710.0
392349,1001.0,375.3936063936064,190.6043570306852,6.0,201.0,387.0,541.0,720.0
410801,1017.0,369.3185840707965,194.7050939270536,-18.0,185.0,385.0,536.0,720.0
410802,687.0,373.65502183406113,199.15201147295502,15.0,189.5,374.0,557.0,715.0
410803,659.0,379.6115326251897,195.74675249668135,-5.0,212.5,400.0,546.0,715.0
410804,589.0,379.3480475382003,187.9654388655428,15.0,207.0,400.0,534.0,705.0
410805,565.0,384.6300884955752,198.85542027083758,-25.0,197.0,407.0,556.0,705.0
410806,540.0,372.1333333333333,191.87437139188634,14.0,191.5,404.0,533.0,720.0
410807,471.0,370.71974522292993,201.71461305501632,7.0,173.0,388.0,554.0,715.0
410808,422.0,378.6042654028436,194.20040651734445,20.0,191.25,416.5,550.0,720.0
421901,639.0,314.4835680751174,160.16256229113807,0.0,170.0,325.0,445.5,700.0
421902,547.0,297.4058500914077,153.92455635785615,10.0,164.0,290.0,417.5,686.0
421903,476.0,310.28991596638656,169.9479548295,-10.0,160.0,311.0,439.25,705.0
421905,400.0,300.2575,168.54708985174955,-39.0,153.5,289.5,438.25,691.0
421906,306.0,312.9542483660131,162.70799913308568,-3.0,185.5,303.5,438.0,676.0
421907,304.0,299.86842105263156,171.09784066050284,9.0,148.0,290.0,438.25,705.0
421909,259.0,294.27027027027026,172.31426447228432,17.0,132.5,286.0,441.0,680.0
460601,1011.0,334.1533135509397,199.3565223571485,15.0,154.0,309.0,521.5,715.0
460602,748.0,339.0267379679144,193.85431627230744,-19.0,160.0,318.5,515.25,700.0
460603,704.0,333.95170454545456,195.35014468847297,-5.0,152.0,305.5,521.25,695.0
460604,629.0,338.62321144674087,199.52374705461696,-3.0,156.0,321.0,534.0,695.0
460605,590.0,326.92542372881354,188.9509360352516,-14.0,150.5,309.5,495.5,705.0
460606,536.0,330.90485074626866,199.56366490485698,-21.0,148.75,314.0,510.5,710.0
460607,470.0,330.8936170212766,196.26344659894718,-5.0,143.5,314.5,523.5,695.0
460608,470.0,341.1468085106383,197.03839673331197,-24.0,161.0,339.0,515.75,705.0
460609,471.0,320.35881104033973,199.53245542503873,-30.0,140.0,289.0,493.0,710.0
