City,count,mean,std,min,25%,50%,75%,max
301307,300.0,98.9,91.00227862926876,-10.0,50.0,76.0,109.25,701.0
301308,273.0,108.1025641025641,86.21414702827472,-15.0,55.0,85.0,131.0,660.0
301309,249.0,92.48995983935743,71.37746732924256,-3.0,43.0,75.0,119.0,525.0
301310,226.0,107.48230088495575,89.86044561067492,-6.0,52.0,78.5,130.0,634.0
301311,227.0,106.48458149779735,89.76095826401657,-15.0,54.5,81.0,123.5,570.0
301312,179.0,95.32960893854748,66.07544007652832,7.0,55.0,81.0,118.5,444.0
301313,183.0,94.57377049180327,69.03211364883852,-16.0,47.0,73.0,115.0,346.0
301314,113.0,109.32743362831859,89.7520833898535,-9.0,52.0,80.0,137.0,457.0
301503,238.0,124.0,98.44126951794048,-8.0,58.5,92.0,169.5,518.0
301703,306.0,107.61437908496733,102.74862683829008,-10.0,46.0,76.5,119.75,577.0
301802,330.0,106.67878787878787,92.71540189896268,-15.0,54.0,79.0,124.5,643.0
301803,324.0,96.82407407407408,86.13422767494107,-22.0,46.0,72.0,106.0,554.0
301804,263.0,93.3764258555133,75.78932566586575,-10.0,50.0,75.0,103.0,445.0
301805,259.0,89.14285714285714,77.95023542400503,-31.0,44.0,72.0,101.5,608.0
302003,312.0,106.22435897435898,104.6342011996126,-21.0,45.0,75.0,111.5,671.0
302106,343.0,106.17784256559767,85.93292895940645,-20.0,52.0,82.0,126.0,626.0
302107,244.0,86.36065573770492,71.02049383399277,-8.0,42.0,68.0,110.25,418.0
302204,349.0,100.3381088825215,80.30015715390682,-19.0,52.0,80.0,118.0,527.0
302205,271.0,99.83025830258302,85.80097970350444,-10.0,45.5,76.0,122.5,574.0
302206,779.0,102.6777920410783,83.7414318665316,-44.0,50.0,78.0,128.0,660.0
302603,345.0,115.4840579710145,90.17476833322122,-15.0,56.0,87.0,144.0,543.0
302604,408.0,115.77450980392157,93.50898017422439,-25.0,56.0,85.0,146.0,570.0
302705,322.0,129.36024844720498,106.96466664379624,-10.0,58.0,91.0,174.75,551.0
302706,290.0,121.2551724137931,99.10218272173618,-8.0,55.0,85.0,160.0,507.0
302906,226.0,122.07964601769912,103.72473328471493,-30.0,60.0,89.0,137.5,539.0
302907,159.0,126.84905660377359,107.73850132067871,-4.0,57.5,90.0,154.0,637.0
302908,693.0,120.82972582972583,106.20586065581072,-20.0,56.0,87.0,145.0,662.0
303004,264.0,105.49621212121212,93.96374991125296,-14.0,45.75,82.5,124.0,518.0
311320,109.0,89.39449541284404,107.88170976932231,-6.0,36.0,61.0,94.0,690.0
312702,493.0,99.85395537525355,108.11969696368155,-30.0,35.0,65.0,117.0,539.0
312703,497.0,90.28571428571429,95.37076871529149,-30.0,35.0,59.0,106.0,538.0
312704,446.0,94.45291479820628,100.00119674801607,-18.0,35.0,60.0,113.75,569.0
312705,374.0,95.50267379679144,101.49133928536071,-15.0,34.0,61.0,113.75,541.0
312706,374.0,95.97058823529412,98.25196962287166,-40.0,35.0,64.0,113.75,548.0
312707,353.0,92.30311614730878,101.29979929325106,-30.0,34.0,60.0,105.0,620.0
312709,282.0,99.33687943262412,95.80973502446773,-30.0,40.0,70.0,127.5,562.0
312710,258.0,68.59302325581395,71.45487181430988,-21.0,31.0,47.0,75.0,390.0
320201,161.0,116.2111801242236,103.57741126434665,-10.0,47.0,82.0,143.0,502.0
320301,643.0,140.78849144634526,99.18079745524227,0.0,71.0,110.0,185.0,569.0
330201,155.0,157.85806451612902,92.6475964399493,28.0,90.0,135.0,206.0,471.0
